,feats,importance
140,INSTAL_DBD_SUM,157
141,INSTAL_PAYMENT_PERC_MAX,16
142,INSTAL_PAYMENT_PERC_MEAN,84
143,INSTAL_PAYMENT_PERC_SUM,116
144,INSTAL_PAYMENT_PERC_VAR,79
145,INSTAL_PAYMENT_DIFF_MAX,67
146,INSTAL_PAYMENT_DIFF_MEAN,62
147,INSTAL_PAYMENT_DIFF_SUM,60
148,INSTAL_PAYMENT_DIFF_VAR,86
149,INSTAL_AMT_INSTALMENT_MAX,177
150,INSTAL_AMT_INSTALMENT_MEAN,155
151,INSTAL_AMT_INSTALMENT_SUM,115
152,INSTAL_AMT_PAYMENT_MIN,216
153,INSTAL_AMT_PAYMENT_MAX,114
154,INSTAL_AMT_PAYMENT_MEAN,122
155,INSTAL_AMT_PAYMENT_SUM,127
156,INSTAL_DAYS_ENTRY_PAYMENT_MAX,207
157,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,150
158,INSTAL_DAYS_ENTRY_PAYMENT_SUM,149
159,INSTAL_COUNT,84
